FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP
da_cve.fid--4e730cdc_188d178612c_2a78,9409,CVE_06 PASEO CERRADO DE CALDERÓN,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"PASEO CERRADO DE CALDERÓN, 9 ",POINT (376620.973 4065304.499),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""4"" ,""Numero_de_puntos_de_recarga"":""2"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a79,9394,CVE_10 CALLE ALCALDE JOAQUÍN QUILES,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"CALLE ALCALDE JOAQUÍN QUILES, 31 ",POINT (373509.728 4068017.81),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a7a,12344,CVE_01 PASEO DE LA FAROLA,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"PASEO DE LA FAROLA, 3 ",POINT (373894.421970263 4064625.52467337),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a7b,9402,CVE_17 CALLE ESPERANTO,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"CALLE ESPERANTO, 13 ",POINT (371987.43 4064636.218),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a7c,9414,CVE_12 CALLE VELARDE,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"CALLE VELARDE, 4 ",POINT (372191.524 4065474.747),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a7d,11466,CVE_19 CONCEJAL MUÑOZ CERVÁN,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"CALLE CONCEJAL MUÑOZ CERVÁN, 14 ",POINT (371489.214467345 4062281.07360015),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a7e,9410,CVE_14 PASEO MARTIRICOS,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"PASEO MARTIRICOS, 11 ",POINT (372561.672 4065739.583),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida y rápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a7f,9411,CVE_05 AVENIDA DEL PINTOR JOAQUÍN SOROLLA,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"AVENIDA DEL PINTOR JOAQUÍN SOROLLA, 3 ",POINT (375211.053 4065079.08),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a80,9404,CVE_27 CALLE LOPE DE RUEDA,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"CALLE LOPE DE RUEDA, 250 ",POINT (366982.043 4067483.464),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a81,9407,CVE_26 CALLE MARÍA CURIE,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"CALLE MARÍA CURIE, 19 ",POINT (361760.338 4066742.356),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida y rápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a82,9396,CVE_25 AVENIDA DE JUAN LÓPEZ DE PEÑALVER,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"AVENIDA DE JUAN LÓPEZ DE PEÑALVER, 14 ",POINT (361353.932 4066774.082),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a83,9406,CVE_03 AVENIDA DE MANUEL AGUSTÍN HEREDIA,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"AVENIDA DE MANUEL AGUSTÍN HEREDIA, 20 ",POINT (372902.305 4064136.212),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""4"" ,""Numero_de_puntos_de_recarga"":""2"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a84,9395,CVE_11 AVENIDA CARLOS DE HAYA,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"AVENIDA CARLOS DE HAYA, 76 ",POINT (370694.174 4065054.66),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
da_cve.fid--4e730cdc_188d178612c_2a85,12144,CVE_31 MIGUEL MÉRIDA NICOLICH,Infraestructura de estaciones de recarga para vehículos eléctricos bajo concesión demanial,"CALLE MIGUEL DE MÉRIDA NICOLICH, 7 ",POINT (369539.348273606 4060512.28268715),,,,,,PRIVADA,No,No,"[ { ""Tipologia_de_carga"":""Semirápida y rápida"" ,""Plazas_de_vehiculo_disponibles_para_recarga"":""2"" ,""Numero_de_puntos_de_recarga"":""1"" } ] "
