FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-732c,4335,Estatua de Hans Christian Andersen,"Obra en bronce del escultor José María Córdoba por encargo de la Casa Real Danesa,  nos presenta al escritor danés sentando en un banco, en actitud relajada. Una escena que podría reflejar a la perfección algunos de esos momentos que el autor de La Sirenita pasó en nuestra ciudad durante los primeros días de octubre de 1862, y que recogió en su obra Viaje por España. Cautivado por la belleza de Málaga, por el mar, su luz y su gente, Andersen llegó a escribir que ""en ninguna otra ciudad española he llegado a sentirme tan dichoso y tan a gusto como en Málaga"". La obra invita a acercarse y a sentarse al lado de la figura del escritor, a admirar y sentir respeto por su obra y apreciar su forma pionera de viajar siendo uno de los primeros viajeros cultos del siglo XIX.","PLAZA DE LA MARINA, 4 ",POINT (373171.90394269914 4064597.4637502367),,,,,,MUNICIPAL,No,Si,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-732b,4349,Junta de Obras del Puerto,"Periodo: Siglo XX. Construido entre 1932-35, con proyecto y dirección del ingeniero Manuel Aceña González, se localiza dentro del recinto del Puerto. Es un edificio de interés, de aspecto noble y estilo tradicionalista que enlaza con fórmulas empleadas en edificios históricos de función similar. Es de planta cuadrada, con cuerpo bajo almohadillado, adelantando ante la entrada un pórtico tetrástilo dórico que sostiene una balconada, al que se abren los vanos centrales del piso principal, de aquí arranca un apilastrado gigante alternando con el fenestraje y se remata, tras las cornisas, en un frontón con el reloj y los escudos del cuerpo de Ingenieros y de la Ciudad. En el interior destaca un magnífico salón de Juntas y una amplia escalera principal imperial.","PLAZA DE LA MARINA, 5 ",POINT (373197.1745609203 4064455.958409279),http://www.puertomalaga.com,administrador@puertomalaga.com,,,,AUTONOMICA,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-732a,4307,Palacio de la Aduana,"Siglo XIX.La Nueva Aduana, proyectada en 1788 para sustituir a la antigua Aduana establecida en Puerta del Mar, se terminó de edificar en 1829. Se constituye como un edificio amplio destinado a atender el tráfico del puerto. De este palacio de estilo neoclásico, destaca su patio interior y sus recias escaleras con balaustrada de mármol, constando de 4 pisos. Se edificó a la manera de los palacios renacentistas italianos, con cuatro crujías en torno a un patio central porticado en sus dos primeros pisos, retranqueándose el tercero para dar cabida a una galería abierta con antepecho en forma de balaustrada calada, que de tramo en tramo posee muretes cúbicos rematados por bustos romanos. Al patio se accede a través de dos puertas principales, una situada al sur y otra al oeste.En este edificio se han asentado Reyes y príncipes; ha sido teatro de escenas violentas en las épocas revolucionarias, y ha servido de cuartel en momentos difíciles. ","PLAZA DE LA ADUANA, 1 ",POINT (373417.40594413085 4064768.038732683),www.juntadeandalucia.es/cultura/museos/mma,,,,,AUTONOMICA,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7329,4302,Castillo de Gibralfaro,"Castillo edificado en el siglo XIV para albergar a las tropas y proteger a la Alcazaba, debido al uso generalizado de la artillería.Dispone de accesos limitados para personas con movilidad reducida","CAMINO GIBRALFARO, 11 ",POINT (374073.62758384005 4065108.994438577),http://www.malaga.eu,sescalona@malaga.eu,,"Del 1 de abril al 31 de octubre de 9:00 a 20:00 horas.
Del 1 de noviembre al 31 de marzo de 9:00 a 18:00 horas.
Abierto todos los días del año. ","Normal: 3,50 Euros.
Visita conjunta Alcazaba-Gibralfaro: 5,50 Euros.
Reducido: 1,50 Euros.
Reducido Visita conjunta Alcazaba-Gibralfaro: 2,50 Euros.
Reducido con acreditación: niños de 6 a 16 años, estudiantes, mayores de 65 años, jubilados, desempleados, discapacitados mínimo 33% y usuarios tarjeta MÁLAGACARD.
Grupos (mín.10): 2,50 Euros.
Grupos Visita conjunta Alcazaba-Gibralfaro: 4,00 Euros.
Visita gratuita todos los domingos a partir de las 14:00 horas y hasta su cierre.",MUNICIPAL,No,Si,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7328,4340,Hospital Noble,"Periodo: Siglo XIX. El Hospital Noble debe su existencia al legado testimonial del Dr. Joseph Noble, médico inglés que ejerció su profesión en Málaga hasta 1861, año en que falleció de cólera. Su esposa e hijas destinaron la herencia a la construcción de un hospital auxiliar donde, además de los vecinos de la Malagueta, pudieran ser atendidos los marinos de nacionalidades diversas que arribaban al puerto de Málaga. El 24 de septiembre de 1870 la Comisión Municipal de Beneficencia tomó posesión del edificio. El edificio se enmarca dentro del estilo neogótico. Se estructura con gran sencillez, en base a una nave longitudinal con pasillo central que da acceso a las distintas dependencias. El cuerpo central da paso al interior del hospital a través de un gran arco cobijado por una especie de alfiz, bajo el que puede leerse ""Hospital Noble"" en lápida de piedra. Los cuerpos laterales, que son idénticos, se destinaron a casa de socorro. En la actualidad está destinado a oficinas municipales.","PLAZA DEL GENERAL TORRIJOS, 2 ",POINT (373912.53011960845 4064787.5019642636),,,,,,MUNICIPAL,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7327,4348,Plaza de la Marina,"Esta plaza del centro de Málaga se localiza entre la Alameda Principal y el Paseo del Parque, y constituye uno de los puntos más característicos de la ciudad. La elegancia de los numerosos edificios que la circundan, aun siendo de líneas netamente modernas, armonizan el carácter monumental del centro histórico. En el centro de la plaza una fuente anima, con sus juegos de agua, este centro neurálgico de la vida humana. Algunas palmeras y recuadros de jardines junto con los poderosos pilares que delimitan el acceso a la zona del puerto, constituye otro de los muchos elementos que caracterizan este rincón de Málaga. Su ordenación se proyectó a mediados del siglo XIX, cuando demolidas las murallas musulmanas del paño sur malagueño, abrieron la ciudad al mar (ver foto). Desde entonces ha sufrido varias remodelaciones, la última hace pocos años. Actualmente, en una esquina de la parte central de la plaza, se encuentra la Oficina Municipal de Información Turística del Ayuntamiento.","PLAZA DE LA MARINA, 11 ",POINT (373124.03027498035 4064475.657019264),,,,,,MUNICIPAL,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7326,4347,Puente de los Alemanes,"Periodo: Siglo XX. El puente de Santo Domingo se conoce popularmente como de los Alemanes. Este puente de estructura metálica, que une el Pasillo de Santa Isabel con Santo Domingo, es fruto de la gratitud de la colonia alemana a la ciudad de Málaga, según indica la placa que cuelga en la pasarela de hierro peatonal: ""Alemania donó a Málaga este puente agradecida al heróico auxilio que la ciudad prestó a los náufragos de la fragata de guerra Gneisenau"". Los hechos sucedieron el 18 de diciembre de 1900. La fragata alemana Gneisenau se estrelló contra la escollera del puerto a causa del temporal. Numerosos malagueños se lanzaron al agua para socorrer a los marineros alemanes, lo cual le costó la vida a muchos de ellos. Este hecho le valió a Málaga el título de Muy Hospitalaria que figura en su escudo.","PUENTE DE SANTO DOMINGO, 1 ",POINT (372703.6223199595 4064679.0694404915),,,,,,MUNICIPAL,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7325,4343,La Farola,"Aunque existen referencias anteriores a otros mecanismos luminosos, es en el siglo XIX cuando se construye 'la Farola' en su ubicación actual, según los planos del ingeniero Joaquín María Pery. Las obras comenzaron en el año 1816 y terminaron un año más tarde, en tiempos de Fernando VII. En 1885 el edificio fue reformado y dotado con un nuevo aparato luminoso, construyéndose un torreón de unos 4 metros sobre la torre. En 1909 fue ampliada la vivienda existente.","PASEO DE LA FAROLA, 19 ",POINT (373667.34280021855 4064105.59566451),,,,,,AUTONOMICA,No,No,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7324,4311,Iglesia de San Juan Bautista,"Siglos XV-XVIII.Esta fue una de las cuatro iglesias que fundaron los Reyes Católicos después de la conquista de la ciudad en 1587.En su origen tuvo una nave y otra colateral, realizada en estilo gótico, mezclado con el mudéjar y arcos apuntados sobre pilares. La torre se finalizó en 1543.Posteriormente, a mediados del siglo XVI (1554), se amplió la nave mayor y se cambiaron los arcos apuntados por arcos de medio punto.En 1620 se levantó otra nave colateral y se dieron las directrices para la futura construcción de la capilla mayor. Después del terremoto de 1680 se hizo una torre pórtico que da a la iglesia por la nave lateral derecha.","CALLE SAN JUAN, 3 ",POINT (372861.7530454381 4064826.2105444935),http://www.diocesismalaga.es,,,"Mañana de lunes a sábado de 10:30 a 13:00 h 
Tardes de lunes a sábado de 17:00 a 19:00 h.
",,PRIVADA,No,Si,
da_cultura_ocio_monumentos.fid--4e730cdc_188ffd7fa71_-7323,4331,El Cenachero,"Periodo: S.XX. Escultura en bronce, que representa a un tipo popular malagueño, como es el vendedor de pescado. Se ubica en la Plaza de la Marina tras la Oficina Municipal de Información Turística. El monumento del Cenachero es un símbolo malagueño que encarna a un vendedor de pescado que mantiene el equilibrio entre sus dos platillos de cenachos. La obra rinde homenaje a una figura popular, que hoy en día ha desaparecido, que vendía el pescado por las calles, haciendo ""bailar"" los cestos (cenachos) que colgaban sujetos de los hombros o codos.","PLAZA DE LA MARINA, 3 ",POINT (373134.91298287024 4064585.140149803),,,,,,PRIVADA,No,Si,
